开放粤语例句词库

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［粤语例句］*［国语释义］

 揸住手噉教佢	手把手地教他

噉唔系得啰！	这不就行了吗！

噉唔系，我早就话过噶喇	可不是，我早就说过了

噉唔得格！	这样不行嘛！

噉嘅回应好行货啫	这样的回应很一般而已

噉嘅样你都话靓？	这么个样子你还说漂亮？

噉嘅机会唔多	这样的机会不多

噉嘅错误都有，笑大人个口	这样的错误也有，笑死人

噉实冇错	这样准没错

噉就似样啲	那就像样一点

噉就唔使倾呀	那就不用谈了

噉就好嘞	这样就好了

噉我就唔阻你啦	那我就不耽误你了

噉我行先啦	那我先走了

噉我负责做乜嘢呀？	那么我负责做什么呢？

噉我走先嘞	那我先走了

噉搅作唔系几好噃？	这么搞法不怎么好吧？

噉搅法唔得个噃	这样搞法可不行啊

噉会唔会早咗啲呀？	这样会不会早了一点呢？

噉样你可以喺网络上面修改	那样的话你可以在网络上作修改

噉样做实行好啦	这么做当然好了

噉样做确实太差皮啰！	这样做确实太差劲了！

噉样呀，噉你行吓街啦	可以逛逛街头

噉样啦，我开一个活期存折	那这样吧，我开一张活期存折

噉样嘅人真系少见	这样的人真少见

噉样嘅人真系少见	这样的人真少见

噉样就睇落更加后生喇	这样就显得更加年轻了

噉样讲就得	这样说就行了

噉样都几好	这样挺好的

噉样都几好	这样挺好的

噉样点得呢！	这样怎么行！

噉玩好易出事	这样玩很容易出事

噉而家呢个项目做成点样呀？	那现在这个项目做得怎么样呢？

噉着都唔好睇嘅	那样穿不好看

噉衰㗎，走都唔等埋我	真讨厌，要走也不等等我

噉请换一百蚊嘅散纸畀我	那么，请换一百块的零钱给我

噉讲心嗰句，你仲钟唔钟意佢呀？	那么，说真心话，你还喜不喜欢他？

噉读书入脑得多	这样复习能记得更牢

噉都冇办法噶	那样也没办法了

噉都唔识，真瘀	这也不懂，真窝囊

噉点得呀！	那哪儿行！

噉点样先至可以恢复使用呢？	那么怎样才能恢复使用呢？

噏啲乜呀，发神经！	胡说些什么，神经病！

当噉跌咗落地	当的一声掉在地上

吓到佢失魂	吓得他魂飞魄散

吓到佢成个人毛管戙	吓得他混身起鸡皮疙瘩

吓到佢手脚发抖	吓得他手脚发抖

吓到佢毛管都松晒	吓得他毛骨悚然

吓到佢毛管都松晒	吓得他毛骨悚然

吓到个仔粒声唔出	把儿子吓得一声不吭

吓到成个人定晒形	吓得整个人发呆了

吓到我揗晒	吓得我发抖

吓到手揗脚震	吓得手脚都哆嗦

吓吓人就得	吓他一下就行了

嚟呀，饮杯茶先	来，喝杯茶

嚟呢啲咁高级嘅地方，真系周身唔自在	来这种高贵的场所，真是浑身不自在

嚟呢度	来这儿

嚟咗成百个人	来了将近一百个人

嚟多个汉堡包添啦	再多来一个汉堡包吧

嚟迟咗一步	来晚了一步

四便一样长	四面一样长

四便都有人	四面都有人

四便都有围墙	四面都有围墙

四便都有树	四周都有树

四号起首，开三日会	从四号开始，开三天会

四边四便都种晒树	四周都种满了树

因住佢扮猪食老虎啊	小心他装疯卖傻来占便宜！

因住佢扮猪食老虎啊！	小心他装疯卖傻来占便宜！

因住冷亲	当心受凉了

因住剕损手吖	小心别削着手哇

因住呀，呢度跌落楼渣都冇得剩呀	小心呐，从这儿掉下楼去连渣都没有了

因住呀，跌烂咗唔得掂	小心哪，摔坏了可就不得了了

因住咪畀滚水渌亲	小心别给开水烫了

因住唔好冻亲	小心别着凉

因住嗰嚿石揜亲只脚	当心那块石头把脚砸了

因住打烂咗	当心打破了

因住扻亲个头	当心碰着头

因住整烂人啲嘢吖	小心别把人家的东西弄坏了

因住条腰呀！	小心你的腰啊！

因住楼上倒水落嚟	当心楼上泼水下来

因住畀门挟亲只手	当心给门掩了手

因住畀隔离听到	留神别让邻居听见了

因住跌落去	当心摔下去

因住辣亲	小心别烫着

因住，呢个喼好重噶	小心，这个箱子很沉

因住，唔好倒泻牛奶	小心，别把牛奶撒了

因住，唔好倒泻牛奶	小心，别把牛奶撒了

国家唔富强就听挨打	国家不富强就会等着挨打

地下有烟头	地上有烟蒂

地基打得好实净	地基打得很扎实

地好湿，因住跣咗落去	地很湿，当心滑了下去

地铁咁贵，我情愿坐巴士	坐地铁这么贵，我宁愿坐公共汽车

坐低啲嘢唞吓先啦！	把东西放下歇一歇吧！

坐低慢慢倾	坐下慢慢谈

坐佢侧边嗰个系边个？	坐在他旁边的那个人是谁？

坐吓先	先坐会儿

坐唔正扽咗落地	没坐稳，一屁股坐到地上

坐喺出便听唔到	坐在外面听不见

坐多阵吖	多坐一会儿

坐得耐要喐动吓至得	坐得时间长了要活动一下才行

坐车咁迫，行路仲冇咁嬲啦	坐车那么挤，还不如走路呢

坐车逼到鬼噉	坐车挤得要命

坐开便嗰张凳啦	坐靠外面的那张凳子吧

坐电单车好危险噶噃，都系唔好揾啲咁嘅嘢搅啦！	坐摩托车很危险的，还是不要找麻烦了！

坑渠塞咗啦，派个人嚟清理吓得唔得？	下水道堵了，可以派人来清理一下吗？

垃圾桶要扱实只盖	垃圾桶盖要盖好

埋便嗰个姓李，开便嗰个姓张	靠里的那个姓李，靠外的那个姓张

埋便有位	里边有位子

埋嚟吖！	过来吧！

执到一支笔	拾到了一支笔

执到干干净净	收拾得干干净净的

执到支钢笔	拾到一支自来水笔

执到本书	捡到一本书

报纸登嘅消息全部系坚嘅	报上登的消息全都是可靠的

块田而家生满晒野草	如今这块地长满了野草

块面都巢晒	脸全起皱了

增加咗几个percent？	增加了百分之几？

壅两次肥	施两次肥料

外便好焮，都系留喺室内好啲	外边挺热的，还是留在室内好

外出点解咁嘈呀？	外边为什么这么吵？

多人迫埋唞唔到气	人多挤一起就透不过气来

多唔多嘢做？	工作多不多？

多啲运动肌肉先唔会削	多一点运动肌肉才不会松弛

多年冇见，你靓女咗呀！	很多年没见，你变漂亮了啊！

多得你帮我揾翻个手袋，认真多谢晒你呀！	@多亏帮我找回手提包，真是太谢谢你了！

多谢你畀面就真	多谢你赏脸才是

多谢大家畀面	谢谢大家赏脸

多谢晒！	谢谢您啦！

多谢，我唔饮酒	谢谢，我不喝酒

夜啦，搂多件褛	夜深了，多披件大衣

夜夜都冇翻嚟	挺晚了还没有回来

夜晚一个人出街要小心畀人劏死牛	晚上一个人上街要小心让人拦路抢劫

夜晚仲有歌舞表演同放烟花添	晚上还有歌舞表演和放烟火

夜晚好静	晚上很安静

夜晚要韫好啲畜牲	晚上要把牲口圈好

夜晚黑周围都静英英	夜里到处静悄悄的

夜麻麻仲唔瞓觉做乜嘢吖？	那么晚还不睡觉干什么？

夜麻麻唔好去咯	晚上一团漆黑，别去了

夜麻麻唔好噉，好唔好？	深夜别这样了，好不好？

够唔够胆输赌吖？	敢不敢打赌哇？

够数咁滞喇	差不多齐了

够胆你就冲上去	有胆量你就冲上前

够胆就放马过嚟	有胆量就放马过来

够钟死心喇	是时候放弃了

够钟嘞，我要扯嘞	到时间了，我该走了

够钟放工啰噃	到时间收工了

够钟数喇	到时间了

够钟开工吖！	上班了！

够钟开工喇，你唔好鸡啄唔断啦	工作的时间到了，你们别老谈个没完的

够钟食药啦	吃药的时间到了

大人大姐仲要亚妈照顾咩	都已经是成年人了，还要妈妈照顾吗？

大佬，咁短时间点做得晒呀！	老兄，时间那么短哪儿能做得完呢！

大个仔啰，唔好成日玩喇	长大了，不要整天玩了

大个唔好虾细个	年纪大的不要欺负年纪小的

大吉利事，咪噉讲	大吉大利，快别这样说

大吉利事，碰到啲噉嘅衰嘢	大吉大利，真糟糕碰到这样的事

大咗仲懒咗添	大了却更加懒了呢

大嘥大使	大手大脚花钱

大家企埋墙边	大家都站到墙边去

大家倾得咁高兴，你做乜粒声都唔出？	大家谈得这么高兴，你为什么一声不吭？

大家合作唔到不如散档啦	大家合作不好不如散伙吧

大家咁熟，仲咁拘执？	大家那么熟，还这样客气？

大家咁高咁大	大家差不多

大家唔好嘈，静一静	大家别吵，静一静

大家啦啦声，一阵间就做完咯	大家呼噜哗啦的，一会儿就干完了

大家坐低，唔好企住！	大家坐下，不要站着！

大家好好坐喺度，唔好逼嚟逼去	大家好好地坐着， 不要挤来挤去

大家守秩序，唔好櫼队	大家遵守秩序，不要加塞儿

大家宜得你成功	大家都想你成功

大家帮手谂吓办法啦	大家帮忙想想个办法了

大家成日都受害，梗系要捉住嗰班打靶佬！	大家总是受害，一定要抓住那群混蛋！

大家撑你噶	大家支持你

大家极之高兴	大家非常高兴

大家熟口熟面有问题唔怕讲呀	大家那么熟了，有什么问题不要怕说出来嘛

大家畀啲建议	大家给一些建议

大家听到比赛结果即刻冇晒表情	大家听到比赛结果，马上脸容失色

大家举荐佢做主任	大家推荐他当主任

大家落力啲，时间好逼噶	大家努力点，时间很紧迫

大家要将旅行社嘅标贴贴喺身上	大家要把旅行社的标牌贴在身上

大家觉得流定坚呢？	大家觉得是假的还是真的？

大家认为佢份人系点？	大家觉得他的为人怎么样？

大家讲好一齐去，你唔好临时缩沙呀！	大家说好一起去的嘛，你别临时变卦了呀！

大家起筷，唔使客气	大家请动筷子，甭客气

大家起筷，唔使客气	大家请，甭客气

大家轮住嚟睇，唔好乱龙	大家轮着来看，不要乱了套

大家都似你噉样就好咯	大家都像你这样就好了

大家都似你噉样就好咯	大家都像你这样就好了

大家都好声好气噉讨论，问题就容易解决喇	大家都心平气和地讨论问题，问题就好解决了

大家都欢喜	大家都高兴

大家都睇死佢	大家都看透他了

大家都要循例嚟做	大家都要按照惯例来做

大家都阔佬懒理，呢啲事边个做呀？	大家都不理不睬，这些事谁来干？

大家静英英噉听	大家静静地听着

大方啲，唔好咁思缩	大方一点，不要那么拘束

大早仲喺度	刚才还在这儿

大清早流流着咁少衫，因住冷亲	大清早的穿那么少衣服，当心着凉

大声啲喇，听唔到你讲乜	大点声吧，听不见你讲什么

大食懒嘅人最冇用	好吃懒做的人最没有出息

天一冻，个个着到裹蒸粽噉	天一冷，个个都穿得像个大粽子

天下武功出少林呀，听过未呀？	天下武功出少林呀，你没听过吗？

天时冷就喺屋企炙火	冷的时候就在家烤火

天时咁热，偏偏西瓜渴市	天气这么热，偏偏西瓜供不应求

天时有啲冻	天气有点冷

天时热个个都想去游水	大热天人人都想去游泳

天气干燥，好热气，煲凉茶饮至得	天气干燥，上火了，该煮点儿去火汤药喝

天气咁热，要开冷气至得	天气这么热，开开空调才对

天气潮湿，啲嘢好易发毛	天气潮湿，东西很容易发霉

天气预报讲听日会翻风落雨	天气预报说明天会刮风下雨

天气预报讲听日会翻风落雨，真系热极生风	天气预报说明天会刮风下雨，真是热极生风

天气鬼咁热	天气多么热

天黑咁滞	天就快黑了

太平门唔可以锁住	紧急出口的门不能锁死

太耐冇打波，打完一场周身渊到死	太久没打球，一场球下来浑身酸痛得要命

失咗倚凭	失去靠山

夹埋今次，你已经三次迟到啦	加上这次，你已经迟到了三回

夹硬擝我嚟	硬把我拽来

夹硬要佢去	硬是要他去

夹硬迫入去	硬着挤进去

奉旨唔会话你	一定不会说你

契咗佢做仔	认了他做干儿子

套电影好多镜头都咳咗	这部电影很多镜头都删除了

女仔之家做嘢唔好咁冇厘搭霎先得噶！	姑娘家做事不要那么大大咧咧的！

女仔之家唔好随便去人哋屋企	姑娘家不要随便上人家家里去

女仔去嗰啲地方，好容易畀人搏懵噶	女孩子家去那种地方，很容易被人占便宜的

好似系噉	好像是这样

好似唔喺度	好像不在这儿

好似好恐怖咁㖞	好像很恐怖的样子

好似好醒噉	好像很了不起那样

好似控制唔到噉	好像不能控制的样子

好似发瘟噉	像疯了似的

好似雪咁白	雪似的那么白，好像雪那么白

好危险个噃，你够胆死咩？	很危险的，你敢吗？

好可惜，我冇留低佢嘅电话号码噃	真遗憾，我没记下他的电话号码

好叻咩，我够有咯	有什么了不起，我也有呢

好咗好多	好了很多

好哋哋喊咩啫？	好好的干嘛哭啊？

好唔好啫？	好不好啊？

好唔满意呀	很不满意了

好唔钟意湿凹凹嘅感觉	很不喜欢湿漉漉的感觉

好喇，早啲瞓吖	好了，早点睡吧

好嘅曳嘅都分一啲	好的赖的都分一点

好嘢呀，靓仔！	真有你的，小子！

好嘢唔系用嚟嘥噶	好东西不是用来浪费的

好在得佢喺度	还好有他在这里

好在我唔会噉咯	幸好我不是这样子

好在畀我发现咗	幸好被我发现了

好型仔呀	很帅啊

好多人都系噉	很多人都是这样

好多嘢做，晚晚要开O.T.	有很多事情做，每天晚上要加班

好多嘢都系做得唔够	很多事情都是做得不够

好多大公司请佢，佢都唔去，真系吊起嚟卖	很多大公司聘他，他都不干，这就是提高身价了

好多女仔都想第日行天桥	很多女孩都盼着日后能当时装模特儿

好多神棍成日喺度呃人	很多巫师整天在骗人

好多蚊，一定要落蚊帐啦	很多蚊子，一定要把蚊帐挂起来了

好多谢大家咁畀面嚟赠庆	谢谢大家赏脸来道贺

好多谢大家畀咁多鼓励我	很感谢大家这么鼓励我

好夜至瞓	很晚才睡

好好笑依句！	这句话真好笑！

好威水嘅被面	很鲜艳的被面

好嬲吖宜家！	很生气了，现在！

好嬲噉走咗出去	很生气地走出去了

好少听到你唉唉声噶㖞	很少听到你唉声叹气

好彩佢走甩咗	幸亏他逃跑了

好彩佢遇到我	幸亏他遇到我

好彩冇打烂	幸亏没有打破

好彩就钓到几条鱼，唔好彩就一条都冇	走运的话就能钓到几条鱼，不走运的话就一条也没有

好得佢嚟帮手，唔系都几踢脚	幸亏他帮忙，要不就很难办

好得意呀	很可爱啊

好心你化啦	拜讬你看开了

好心你哋唔好计得咁犀利啦	拜托你们两个别这么斤斤计较了

好心你啦，泼到人成身水！	你瞧你泼得人满身是水！

好心你帮我讲两句好话啦	劳您驾帮我美言两句

好快脆就翻嚟	很快就回来

好惦呀	很行啊

好抵死	真活该

好抵死呀	真活该

好核突呀	很恶心啊

好核突呀！	很恶心啊！

好犀利呀	很厉害啦

好犀利㖞呀你	你好厉害！

好痛呀！	很疼啊！

好眼瞓吖	真想睡觉了

好笑呀？你笑咩嘢？	好笑吗？你笑什么？

好翻学啰噃，再唔出门就赶唔切啦	该上学了，再不出门就来不及了！

好耐冇打牌，真系有啲手痕	好久没打牌，真有点手痒

好耐冇见嘞，咁啱吖	很久没见了，这么巧哇

好耐啦	很久了

好声抬，唔好打烂	小心抬，别打破了

好声攞，因住跌落地	小心拿好，当心别掉地上了

好声行呀	小心走啊

好声行，因住打烂嚟	当心， 别给打破了

好肚饿呀	肚子很饿了

好肚饿呀，有冇嘢食？ 	肚子很饿了，有没有东西吃？

好腥行呀，因住仆亲啊	小心走，当心摔着了

好衰唔衰输清光	最糟糕的是输了个精光

好辛苦先扑到两张飞	很费劲才买了两张票

好难估㖞，畀啲贴士喇	挺难猜的，给点提示吧

好靓呀，我要影多几张相！	很漂亮，我要多照几张相！

好靓嘅生油	很好的花生油

好靓嘅风景	很美丽的风景

好，手续搅惦啦，你走得啦	好，手续办好了，您可以走了

如果你曳曳就唔惜你	如果你淘气就不疼你

如果你有咩地方睇唔明嘅话，话畀我知	你如果有看不懂的地方告诉我

如果你通气就咪去	如果你知趣就别去

如果佢响你嗰度叫佢打个电话翻嚟讲我听喇	如果他在你那里请叫他给我打个电话

如果佢打亲你，你就讲畀差人知	如果他打你，你就告诉警察

如果佢有事，我都唔知点算	如果他有事，我也不知道怎么办

如果冇咩意见，请喺呢度签名	如果没有意见，请在这里签字

如果存定期嘅话，利息高过活期	定期的话，利息比活期的高

如果我屋企附近有，我日日都买	如果我家附近有，我天天都买

如果我行路去要几耐呀？	如果我步行要多久呢？

如果提前攞走定期存折入便嘅钱，利息会少好多	如果提前取出定期存折里的钱，利息会减少很多

如果有乜嘢可以帮得手嘅，即管同我讲	如果有什么我能帮忙的，尽管说

如果有事，各人自己执生喇	如果出了事，大家见机行事吧

如果贵公司价钱优惠，我哋就即刻订货	如果贵公司价格优惠，我哋就即刻订货

如果赶唔切上机就弊喇！	如果误了飞机就糟了！

婆婆一日到黑都笑口吟吟	姥姥一天到晚都笑容满面

婆婆几时都系咁锡啲孙噶啦	外婆甚么时候都是这么痛爱孙儿的

婚纱铺啲人好识推销，实斩到你一颈血	婚纱店的人很会推销商品，肯定会狠狠地宰你一笔

妈咪至关心我哋	妈妈最关心我们

嫁个有钱老公，下半世就唔使忧啦！	嫁一个有钱的丈夫，下半辈子就不用担忧了！

嬲到佢死	恨死了他

嬲到佢粒声都唔出	气得他一声不响

嬲咩嘢？	生什么气？

孖埋佢去	叫他一起去

学咗几年仲咁水	学了几年水平还那么低

学晓未呀？	学会了没有？

学校四围都又门口	学校四周都有门口

学校四围都有门口	学校四周都有门口

学校放咗学喇	学校放学了

安排掂晒先至去都唔迟	安排好了再去也不迟

完全系生安白造！	完全是瞎编的！

完全唔知讲咩好	完全不知道说什么好

完全唔顾及啲观众噶感受	完全不顾及观众的感受

定啲，咪咁惊青	镇定一点，不要那么慌张

定啲，唔使咁惊青	镇定点，不要慌张

家下唔同旧时喇	现在跟过去不同了

家阵我好忙	现在我很忙

家阵挨得咁辛苦，可以话日日做到金睛火眼	这会儿熬得这么辛苦，可以说天天忙得不亦乐乎

家阵买樖菜都要蚊几两蚊，贵到飞起	现在买棵菜都要一元多差不多二元，十分昂贵

宿舍里便要执拾得齐整啲	宿舍里面要收拾得整齐一些

寄挂号信大概要几耐？	寄挂号信大概需要多长时间？

实得噶喇	一定成的

实行系噉啦	就是这样吧

实行系噉噶啦	就是这样吧

写咗成晚，眼好劫	写了一晚，眼睛很涩

写咗成晚，眼好涩	写了一晚，眼睛很涩

写大字枝笔要戙笃企至好	写毛笔字笔要垂直才好

写字写到手都梗晒	写字写得手都硬了

写封信畀妈妈	写一封信给妈妈

写鬼埋呢个字先去	倒不如先写完这个字再去

宝宝戒奶食乜好？	婴儿断奶吃什么好？

将人哋踩低	把人家挤垮

将佢分开	把它分开

将佢哋摆入档案柜	把它们放在档案柜台里

将来嘅事话唔埋嘅	将来的事很难说

将来有咩三长两短，冬瓜豆腐，唔好怨我呀	将来有何三长两短，不要怨我

将个袋啲嘢扽晒出嚟	把袋子里的东西抖出来

将个钟较到五点半响	把钟拨到五点半响

将个面盆仆转过嚟	把脸盆扣过来

将呢啲书用牛皮纸包住先	先把这些书用牛皮纸包起来

将呢几页讲义钉埋一份	把这几页讲义钉成一本

将呢张纸摄入门罅度	把这张纸插进门缝里

将啲功课做完	把功课作完

将啲灰沙笪上埲墙嗰度	把灰沙摔到墙上

将啲竹竿企起嚟放	把竹竿立着放

将啲衫洗咗	把衣服洗了

将啲钱畀佢	把钱给他

将嗰件衫洗干净	把那件衣服洗干净

将嗰啲嘢拧出嚟	把那些东西拿出来

将垃圾扫埋一堆	把垃圾扫成一堆

将封信响门罅度摄入去	把信从门缝儿里塞进去

将张枱抹一抹	把桌子擦一擦

将条铁线屈成一个圈	把铁丝弯成一个圈

将门油成红色	把门漆成红色

将间楼按畀银行	把房屋抵押给银行

对佢好心淡	对他不寄予希望

对呢啲咁嘅人真系冇晒收	对这样的人真是一点辄也没有

对唔住呀，嗰时因为我要帮人顶更呢，所以我嚟唔到吖	对不起，那次因为我要替别人的班，所以无法来

对唔住，你病咗都唔得闲去探你	对不起，你病了我也没空去探望你

对唔住，呢个号码取消咗啦	对不起，这个号码取消了

对唔住，单人房住满晒啦	很抱歉，单人房都住满了

对唔住，嗰样菜我哋唔要啦	真抱歉，那道菜我们不要啦

对唔住，嘈醒咗你添	对不起，把你吵醒了

对唔住，我哋冇办法接受你哋嘅价钱	对不起，我们无法接受你方的报价

对唔住，我好似唔识得你	对不起，我好像不认识您

对唔住，我迟到喇	对不起，我迟到了

对方交货之后，佢一个屈尾十，将货运到北方	对方交货之后，他一个掉头把货运到北方

对于呢个问题大家点睇先	对于这个问题大家怎么看呢？

对梳化咁大，太掗拃	这沙发那么大，太占地方了

对袜好似系鸳鸯嘅	这双袜子好像不是一对的

对鞋咁平实唔禁着	这双鞋这么便宜肯定不耐穿

对鞋着咗几日就烂，真流	这双鞋穿了几天就破了，真次

小一派位结果听日公布	小学一年级分配学额的结果明天公布

小姐，你原先嘅发型都唔系好啱你	小姐，你原来的发型并不太适合你

小姐，借问声返程机票喺边度订？	小姐，请问返程机票应该在哪里订？

小姐，唔该订三张廿一号去上海嘅机票	小姐，我想订3张21号飞上海的机票

小姐，埋单	小姐，请结帐

小姐，畀三盒饭，几多钱呀？	小姐，来三盒饭，一共要多少钱？

小姐，开三位茶，要菊普	小姐，开三位茶，要菊花普洱茶

小姐，点解我嘅信用咭唔用得？	小姐，为什么我的信用卡不能使用？

小张系精仔，但系沙尘得滞	小张是个聪明小伙子，但是太骄傲了

小心冻亲呀	当心着凉啊

小心啲，做嘢鸡手鸭脚点得呀	小心点儿，干活毛手毛脚的怎么行呢

小心畀坏人阴咗你	当心给坏人暗害了你

小心，咪淌泻	当心，别洒了

小规模生产太为皮喇	小规模生产成本太高了

小道消息最化学噶喇，我唔信	小道消息最靠不住，我可不信

少少啦	一点点吧

少少啦	有点儿吧

就系呢个	就是这个

就系咁简单	就是那么简单

就系噉个啰	就是这样的了

就系噉噶啦	就是这样

就系噉噶啦，你点知噶？	就是这样，你怎么知道？

就系啰	就是了

就喺你屋企街口啦	就在你家附近的那个街口吧

就噉嘅	就这样的

就噉算咯，听暇惹起啲林沉事就论尽啰	就这样算了，待会儿惹起什么事就麻烦了

就嚟做晒喇	快做完了

就嚟开学噶喇	快要开学了

就快冇喇	快没有了

就快收档咯	快要结束了

就快考试啦，要锄吓书先得	快考试了，要啃啃书本才行

就算你有两度散手亦唔好牙擦	就算你有两下子，也别骄傲

尿都忍得，屎就忍唔得嘞	尿还能憋，屎就不好憋了

居然似模似样	居然像个样子

屈咗好远先揾到位泊车	兜了挺远才找到位置停车

屈断支牙签	把牙签撅断了

屈断只筷子	掰断筷子

屈亲条腰	扭伤了腰

屋企人都几好吗？	家里人都好吗？

屋企人点呀？	家人怎么样？

屋企啲嘢都搅惦晒啦	家务活儿都干完了

屋企好多烂鬼嘢	家里很多破烂儿

屋企有个老人打理	家里有个老人料理

屋入便冇人	房子里面没有人

屋漏更兼连夜雨，真系苦过弟弟咯	破房子加上连夜雨，真是苦得很啊！

屋祖包唔包水电费？	房租包括水电费吗？

展览馆琴日散档	展览馆昨天结束了

山上辘咗嚿石落嚟	山上滚了一块石头下来

山楂、麦芽最开胃	山楂、麦芽最让人胃口好

山洞入边黑擝擝，乜都睇唔见	山洞里面黑咕隆咚，什么也看不见

山窿入便黑孖孖，乜都睇唔见	山洞里面黑咕隆咚，什么也看不见

崩咗两只牙	缺了两颗牙

工人嚟齐咁滞	工人差不多来齐了

工作做唔完，夜晚要赶工	工作做不完，晚上要加班

工作咁紧张，我怕你顶唔住	工作那么紧张，我怕你吃不消

工作好就手	工作很顺利

工作紧张兼夹休息唔够	工作紧张加上休息不够

左手有三个箩两个篸	左手有三个斗两个箕

差佬嚟冚档喇！	警察来扫荡了！

差啲又摆乌龙喇	差一点又弄错了

差啲唔记得咗一件嘢	差点忘了一件事

差啲畀你吓亲	差点被你吓着了

已经好好噶喇，你唔好咁腌尖啦！	已经挺好的了，你别这么挑剔了！

巴士挤得好似沙甸鱼噉！	公共汽车挤得像沙丁鱼似的！

巴士总站同火车站靠得好近	汽车总站在火车站附近

帆布床中间惰晒落嚟	帆布床中间坠了下来

希望你揾到份好工作	希望你找到一份好工作

希望系真噶啦	希望是真的

希望多啲外国友人学广州话啦	希望多些外国朋友学粤语啦

希望我冇嘈醒你	希望我没把你吵醒

带女朋友去海皮	带女朋友去海边

幅画画得花哩碌，一啲都唔好睇	这幅画画得花里胡哨的，一点也不好看

幅画画得花哩胡碌，一啲都唔好睇	这幅画画得花里胡哨的，一点儿也不好看

幅相摆得唔四正	帽子戴得不端正

幅相畀我印象好深刻	这幅照片给我留下很深刻的印象

帮咗佢仲畀佢闹，系人都焮啦！	帮了他还挨他骂，谁能不火呀！

帮我check吓呢班机仲有冇位	请帮我查查这班飞机还有没有空位

帮我check吓呢班机仲有冇位	请帮我查查这航班还有没有空位

帮我同佢讲声唔该吖	替我向他说谢谢

帮我吼住佢，一有动静就话我知	给我盯着他，一有动静就告诉我

帮我派啲讲义畀大家	请帮我给大家派发讲义

帮我睇住佢	替我照顾他

帮朋友我一向都好落力噶	给朋友帮忙我从来都是很卖劲儿的

帮朋友我一向都好落力噶	给朋友帮忙我从来都是很卖劲儿的

平平哋买翻个玩吓都好㖞	这么便宜买回来玩玩也好啊

年初一流流咪讲呢啲	大年初一的，别说这些

年初一食斋	大年初一吃素

年卅晚人人都翻屋企团年	年三十儿晚上大家都回家吃年夜饭

年卅晚我带你去行花街啦	除夕我带你去逛花市吧

年年都有因游水浸死嘅	每年都有因为游泳淹死的

年几啰	一年多啦

年龄系属于私隐，你唔可以随便问	年龄属于个人隐私，你不能随便问

几似呀	挺像的

几大都要顶住	无论如何也要挺着

几好吖	挺好的

几得意㖞	挺可爱的

几时冇减价啦？	削价到什么时候截止？

几时得嚟吖	时间还早，还早着呢

几时得闲出嚟饮两杯呀！	什么时候有空我们喝两杯吧！

几时放假？未有耐	什么时候放假？早着呢

几时生翻个啤啤？	什么时候生个孩子呀？

几时都要带眼识人至好	什么时候都要善于辨别好人坏人才行

几银斤？	多少钱一斤？

几钱飞呀？	门票多少钱？

几难先至做完	好不容易才做完

度住五百蚊嚟先	先给我五百块

度住几嚿水嚟使住先！	先借几百块给我用用！

广告有话“一路叹一路赞”吖嘛	广告说了“一边享受一边夸它”嘛

广州唔落雪，但有些时候打风，行雷	广州不下雪，但有时刮大风，打雷

广州嘅商业好繁荣，啲衫好平噶	广州的商业很繁荣，衣服十分便宜

广州天时冷唔落雪，唔结冰	广州冬天不下雪，不结冰

广东话读孭啲就系普通话嘞	把广东话读偏一点就是普通话了

廥就休息吓先啦	累了就先休息一下吧

弊喇﹐唔记得带笔！	糟糕，忘了带笔了！

张图睇唔到呀！	那张图片看不到！

张枱唔稳阵噶	这桌子不稳

张枱布长到堕晒落地	这块桌布长得都垂到地上了

张枱油过未？	桌子上过漆没有？

张枱通系泥尘	这张桌子满是灰尘

张梯企过头好难擒上去噶	梯子太垂直了很难爬上去的

张梳化太大，摆喺度好挜拃	这张沙发太大，摆在这儿太占地方

张台唔平，要摄高只脚先得	这桌子不平，要垫高一条腿才行

张纸嚡熠熠，冇办法写字	纸太粗糙了，没法写字

张纸嚡熠熠，冇办法写字	纸太粗糙了，没法写字

弹唔了解情况就咪乱弹人哋	不了解情况就不要乱指责人家

往时过年可以烧炮仗，而家唔得啦	以前过年可以放鞭炮，现在不行了

后便有人，唔好打倒褪	后面有人，不要倒退

后尾大家都同意	后来大家都同意

